Rank,Title,Native Title,Genres,Tags,Where to Watch
34,Night in Paradise,낙원의 밤,"Action, Thriller, Crime, Drama","Mafia, Death, Gang, Revenge, Murder, Noir, Suspense, Physically Strong Male Lead, Emotionally Strong Female Lead, Graphic Violence (Vote tags)",Netflix
35,My Name Is Loh Kiwan,로기완,"Romance, Drama","North Korean Male Lead, Defector Male Lead, Filmed Abroad, Adapted From A Novel, Noir, Death Of A Mother, Foreigner Female Lead, Foreigner Male Lead, Age Gap [Real Life], Set In A Foreign Country (Vote tags)",Netflix
36,To My Star (Movie),나의 별에게 (영화),"Comedy, Romance, Drama","Gay Romance, Gay Male Lead, LGBTQ+, Cohabitation, Rich Male Lead, Famous Male Lead, Cold Man/Warm Man, Scandal, Chef Male Lead, Web Movie (Vote tags)","iQiyi, Netflix, WeTV, Viki"
37,The Pirates 2: The Last Royal Treasure,해적: 도깨비 깃발,"Action, Adventure, Historical, Comedy","Joseon Dynasty, Pirate Female Lead, Historical Fiction, Slight Romance, Multiple Mains, Death, Physically Strong Female Lead, Physically Strong Male Lead, Graphic Violence, Pirate Supporting Character (Vote tags)",Netflix
38,The Great Flood,대홍수,"Action, Adventure, Drama, Sci-Fi","Apartment Setting, Cyberpunk, Time Loop, Natural Disaster, Suspense, Researcher Female Lead, Rescue Mission, Flood, Web Movie, Tsunami (Vote tags)",Netflix
39,Project Wolf Hunting,늑대사냥,"Action, Thriller, Horror, Sci-Fi","Gore, Graphic Violence, Multiple Mains, Prisoner Male Lead, Criminal Male Lead, Superhuman Strength, Suspense, Sexual Content, Prolonged Nudity, Prisoner Female Lead (Vote tags)","Apple TV, Netflix, Viki"
40,Concrete Utopia,콘크리트 유토피아,"Thriller, Drama, Sci-Fi","Adapted From A Webtoon, Disaster, Emotionally Strong Male Lead, Office Worker Male Lead, Nurse Female Lead, Brave Male Lead, Warm Female Lead, Nice Female Lead, Calm Female Lead, Natural Disaster (Vote tags)","Netflix, Viki"
41,Alienoid 1,외계+인 1부,"Action, Adventure, Sci-Fi, Fantasy","Goryeo Dynasty, CGI, Time Rift, Historical Fiction, Flashback To Past, Past And Present, Robot, Time Travel, Alien, Historical (Vote tags)","Apple TV, Netflix, Hulu, Viki"
42,Seoul Vibe,서울대작전,"Action, Adventure, Crime","Criminal Male Lead, Criminal Female Lead, Car Chase, 1980s, Teamwork, Multiple Mains, Heist, White-Collar Crime, Coercion, Graphic Violence (Vote tags)",Netflix
43,Decibel,데시벨,"Action, Thriller, Drama","Terrorism, Navy, Stabbing, Commander Male Lead, Terrorist Male Lead, Reporter Male Lead, Criminal Male Lead, Passionate Male Lead, Time Skip, Social Issues (Vote tags)",Apple TV
44,Badland Hunters,황야,"Action, Adventure, Thriller, Sci-Fi","Graphic Violence, Death Of An Animal, Survival, Post Apocalyptic, Physically Strong Male Lead, Emotionally Strong Female Lead, Survivor Supporting Character, Survivor Female Lead, Survivor Male Lead, Former Criminal Male Lead (Vote tags)",Netflix
45,Recalled,내일의 기억,"Thriller, Mystery, Drama","Trauma, Amnesia, Domestic Violence, Murder, Suspense, Domestic Crime, Inchoate Crime, Crime Against A Property, Emotionally Strong Female Lead, Abusive Parent (Vote tags)","Netflix, Kocowa, Viki"
46,A Christmas Carol,크리스마스 캐럴,"Action, Thriller, Psychological","Revenge, Identical Twin Male Lead, Death Of A Brother, Abuse Of Power, Intellectual Disability, Adapted From A Novel, Suspense, Death, Neurodevelopmental Disorder, Death Of A Twin (Vote tags)",
47,Past Lives,Past Lives,"Romance, Drama","First Love, Married Female Lead, Emotionally Strong Female Lead, Legal Immigrant Female Lead, Legal Immigrant Male Lead, Childhood Friends' Relationship, Married Supporting Character, Writer Female Lead, Mature Female Lead, Mature Male Lead (Vote tags)","Apple TV, Netflix, Viki"
48,Yaksha: Ruthless Operations,야차,"Action, Thriller, Mystery, Crime","Espionage, Prosecutor Male Lead, Investigation, Violence, Adventure, Suspense, Inchoate Crime, Emotionally Strong Male Lead, Difficult Adulthood, Cruel Male Lead (Vote tags)",Netflix
49,Broker,브로커,"Mystery, Crime, Life, Drama","Child Abandonment, Social Issues, Prostitute Female Lead, Moral Dilemma, Human Trafficking, Broker Male Lead, Slow Burn Story, Road Trip, Prejudice, Murder (Vote tags)","Apple TV, Hulu"
50,Mission: Possible,미션 파서블,"Action, Thriller, Mystery, Comedy","Skilled Fighter, Gun Violence, Teamwork, Hidden Identity, Mistaken Identity, Smart Female Lead, Smart Male Lead, Misunderstanding, Gang, Murder (Vote tags)","iQiyi, Apple TV, Kocowa, Viki"
51,Pretty Crazy,악마가 이사왔다,"Mystery, Comedy, Romance, Supernatural","Cursed Female Lead, Patissier Female Lead, Neighbors' Relationship, Awkward Male Lead, Personality Change, Secret, Father-Daughter Relationship, Curse, Investigation (Vote tags)",Viki
52,Escape,탈주,"Action, Military, Thriller, Drama","Defector Male Lead, North Korean Male Lead, Starting Over, Soldier Male Lead, Desertion, Propaganda, Suspense (Vote tags)","Netflix, Viki"
53,Decision to Leave,헤어질 결심,"Thriller, Mystery, Romance, Drama","Detective Male Lead, Death Of A Husband, Suspense, Insomnia, Mild Sexual Content, Language Barrier, Noir, Foreigner Female Lead, Death, Investigation (Vote tags)","iQiyi, Apple TV, Netflix, Hulu"
54,Wall to Wall,84제곱미터,"Thriller, Mystery, Psychological, Drama","Indebted Male Lead, Apartment Setting, Psychological Manipulation, Social Commentary, Noir, Suspense, Investigation, Reporter Male Lead, Crime, Secret (Vote tags)",Netflix
55,Target,타겟,"Thriller, Mystery, Horror, Crime","Investigation, Suspense, Detective Fiction, Detective Male Lead, Fraud (Vote tags)",
56,Following,그녀가 죽었다,"Thriller, Mystery, Drama","Famous Woman/Common Man, Police Officer Female Lead, Famous Female Lead, Social Media, Psychology, Death, Violence, Investigation, Suspense (Vote tags)","iQiyi, Viki"
57,Special Delivery,특송,"Action, Crime","Child Male Lead, Car Chase, Smart Female Lead, Corruption, Graphic Violence, Death, Murder, Skilled Fighter, Car Accident, Driver Female Lead (Vote tags)",Viki
58,Pipeline,파이프라인,"Action, Mystery, Comedy, Crime","Detective Male Lead, Investigation, Inchoate Crime, Inspired By A True Story, Thief Supporting Character, Engineer Supporting Character, Heir/Heiress Supporting Character, Greedy Male Lead, Police Officer Supporting Character, Detective Fiction (Vote tags)","iQiyi, Kocowa, Viki"
59,Sinkhole,싱크홀,"Comedy, Drama","Disaster, Emotionally Strong Female Lead, Rescue Mission, Slight Romance, Family Relationship, Tearjerker, Poor Family, Survival, Father-Son Relationship, Blood (Vote tags)","Kocowa, Viki"
60,2037,이공삼칠,"Crime, Drama","Female Centered Plot, Teenager Female Lead, Friendship, Mother-Daughter Relationship, Prison Setting, Widow/Widower Supporting Character, Sismance, Sign Language (Vote tags) (show hidden tags)","Kocowa, Viki"
61,Sweet Curse,달콤한 저주,"Horror, Comedy, Romance, Supernatural","Short Film, Gay Male Lead, Jealous Male Lead, Popular Male Lead, LGBTQ+, Gay Romance, Ghost Male Lead, Sexual Content, Nudity, Ghost-seeing Male Lead (Vote tags)",
62,Single in Seoul,싱글 인 서울,"Comedy, Romance, Melodrama","Publishing Editor Female Lead, Workplace Setting, Writer Male Lead, Influencer Male Lead, Single Male Lead, Straightforward Female Lead, Single Female Lead, Slow Burn Romance, Booklover Female Lead, Publishing House Setting (Vote tags)",Viki
63,Pavane,파반느,"Romance, Drama, Melodrama","Ostracized Female Lead, Misfit Female Lead, Department Store Setting, Dancer Male Lead, Part-time Worker Male Lead, Loner Female Lead, Co-workers' Relationship, Musician Male Lead, Strangers To Lovers, Slow Burn Story (Vote tags)",Netflix
64,Hi-Five,하이파이브,"Action, Comedy, Sci-Fi, Fantasy","Supernatural Power, Organ Transplantation, Aspiring Writer Male Lead, Church Setting, Manager Female Lead, Priest Male Lead, Superhero Male Lead, Team Leader Male Lead, Taekwondo, Multiple Mains (Vote tags)","Apple TV, Viki"
65,Confidential Assignment 2: International,공조2:인터내셔날,"Action, Thriller, Comedy, Drama","Skilled Fighter, Violence, Suspense, Physically Strong Male Lead, North Korean Male Lead, Detective Fiction, Detective Male Lead, North And South Korea, Multiple Mains, Smart Male Lead (Vote tags)",iQiyi
66,You Are the Apple of My Eye,"그 시절, 우리가 좋아했던 소녀","Romance, Youth, Drama","School Setting, High School, Adapted From A Novel (Vote tags)",Viki
67,The Roundup,범죄도시2,"Action, Mystery, Crime","Graphic Violence, Detective Male Lead, Kidnapping, Detective Fiction, Detective Supporting Character, Criminal Supporting Character, Criminal Male Lead, Drinking, Teamwork, Death (Vote tags)","Netflix, Viki"
68,Hold Me,손잡아 줘,"Romance, Youth","Short Film, Height Difference, Gay Male Lead, Gay Romance, LGBTQ+, Secret Crush, Teenager Male Lead, Classmates' Relationship, High School, Student Male Lead (Vote tags)",
69,You're So Precious to Me,내겐 너무 소중한 너,"Drama, Family, Melodrama","Child Female Lead, Blind Female Lead, Disabled Female Lead, Deaf Female Lead, Hearing Impaired Female Lead, Mute Female Lead, Personality Change, Tearjerker, Poor Male Lead, Death Of A Mother (Vote tags)","iQiyi, Apple TV, Viki"
70,The 8th Night,제8일의 밤,"Thriller, Mystery, Horror, Supernatural","Suspense, Difficult Adulthood, Graphic Violence, Death Of An Animal, Monk Male Lead, Psychic Male Lead, Dark Fiction, Religious Male Lead, Supernatural Being, Spirit Possession (Vote tags)",Netflix
71,Color Rush (Movie),컬러 러쉬,"Mystery, Romance, Youth, Drama","Gay Male Lead, Gay Romance, LGBTQ+, High School, Investigation, Obsessive Male Lead, Psychological, Friendship, Web Movie, Mask (Vote tags)","Netflix, Viki"
72,Pilot,파일럿,"Comedy, Drama","Pilot Male Lead, Double Identity, Cross-Dressing, Brother-Sister Relationship, Non-MDL Remake, Job Seeking, Child Supporting Character, Company President (CEO) Supporting Character, Starting Over, Unemployed Male Lead (Vote tags)",Viki
73,Bogota: City of the Lost,보고타: 마지막 기회의 땅,"Action, Thriller, Mystery, Crime","Set In A Foreign Country, Violence, Gun Violence, Legal Immigrant Male Lead, Smuggler Supporting Character, Smuggler Male Lead, Criminal Supporting Character, Criminal Male Lead, Picaresque, IMF Crisis (Vote tags)",Netflix
74,The First Ride,퍼스트라이드,"Adventure, Comedy, Life, Drama","Childhood Friends' Relationship, Trip Abroad, Healing, Friendship, Best Friends' Relationship, Multiple Mains, Filmed Abroad (Vote tags)",
75,The Moon,더 문,"Action, Drama, Sci-Fi","Space Travel, Outer Space, Disaster (Vote tags)","TVING, Viki"
76,6/45,6/45,"Military, Comedy","Propaganda, North Korean Male Lead, Soldier Male Lead, Demilitarized Zone (DMZ), North And South Korea, Slight Romance, Friendship (Vote tags)",
77,You Make Me Dance (Movie),유 메이크 미 댄스 (영화),"Romance, Drama","Gay Male Lead, Gay Romance, LGBTQ+, Dance, Dancer Male Lead, Debt, Web Movie, Audition, Cohabitation, Performing Arts (Vote tags)",Viki
78,Hijack 1971,하이재킹,"Action, Adventure, Thriller, Crime","Inspired By A True Story, Plane Setting, Hostage Male Lead, Hostage Situation, Pilot Male Lead, Plane Hijack, Hijacking, 1970s, Captain Male Lead, Death (Vote tags)",
79,Nothing Serious,연애 빠진 로맨스,"Romance, Drama","Mild Sexual Content, Brief Nudity, Online Encounter, Reporter Male Lead, Age Gap [Real Life], Anxiety, Single Male Lead, Dating App, Break Up, Mental Illness (Vote tags)",
80,Miracle: Letters to the President,기적,"Romance, Drama, Fantasy, Melodrama","1980s, Based On A True Story, Village Setting, Countryside Setting, Mathematician Male Lead, Genius Male Lead, Brother-Sister Relationship, Mathematics, Father-Son Relationship (Vote tags)","iQiyi, Netflix, Kocowa, Viki"
81,Hard Hit,발신제한,"Action, Thriller, Mystery, Drama","Life Or Death, Explosion, Father-Daughter Relationship, Revenge, Coercion, Student Female Lead, Non-MDL Remake, Police Department Setting, Manager Male Lead, Teenager Female Lead (Vote tags)",iQiyi
82,Revolver,리볼버,"Action, Thriller, Crime, Drama","Revenge, Suspense (Vote tags)","Apple TV, Viki"
83,"I, the Executioner",베테랑2,"Action, Thriller, Mystery, Comedy","Detective Fiction, Detective Male Lead, Fight For Justice, Social Issues, Hidden Identity, Death, Murder, Double Identity, Investigation, Suspense (Vote tags)","Apple TV, Viki"
84,Good News,굿뉴스,"Action, Thriller, Mystery, Crime","Black Comedy, Plane Hijack, 1970s, Hostage Situation, Bilingual Male Lead, Hidden Identity, Based On A True Story, Disaster, Air Force, Assistant Director Supporting Character (Vote tags)",Netflix
85,Alienoid: Return to the Future,외계+인 2부,"Action, Adventure, Sci-Fi, Fantasy","CGI, Time Rift, Historical Fiction, Artificial Intelligence, Robot, Goryeo Dynasty, Time Travel, Alien, Historical (Vote tags)","Hulu, Viki"
86,No Other Choice,어쩔수가없다,"Thriller, Comedy, Drama","Black Comedy, Unemployed Male Lead, Job Hunting, Adapted From A Novel, Picaresque, Snake, Housewife Female Lead, Married Life, Smoking, Suspense (Vote tags)",
87,Once We Were Us,만약에 우리,"Romance, Life, Melodrama","MDL Remake, Lovers Reunited, Break Up, Meet Again, Second Chance Romance, Past And Present, Heartbreak, Friendship (Vote tags)",Viki
88,Revelations,계시록,"Thriller, Mystery, Horror, Fantasy","Priest Male Lead, Religion, Trauma, Suspense, Detective Female Lead, Occult, Violence, Investigation, Visual Hallucination, Christianity (Vote tags)",Netflix
89,Project Silence,탈출: 프로젝트 사일런스,"Action, Thriller, Mystery, Fantasy","Survival, Disaster, Investigation, Suspense (Vote tags)","Apple TV, Viki"
90,New Year Blues,새해전야,"Comedy, Romance, Drama, Melodrama","Cold Female Lead, Multiple Mains, Multiple Couples, Set In A Foreign Country, Disability, Filmed Abroad, Sports, Snowboarding, Languages, Break Up (Vote tags)","iQiyi, Kocowa, Viki"
91,Dark Nuns,검은 수녀들,"Thriller, Mystery, Horror, Supernatural","Arthouse, Catholicism, Shaman Supporting Character, Priest Male Lead, Nun Female Lead, Psychiatrist Male Lead, Doctor Female Lead, Dark Fantasy, Ritual, Spirit Possession (Vote tags)","Apple TV, Viki"
92,Jung_E,정이,"Action, Sci-Fi, War","Mother-Daughter Relationship, Clone, Researcher Female Lead, Skilled Fighter, Dystopia, Post Apocalyptic, Artificial Intelligence, Robot, Gun Violence, Virtual Reality (Vote tags)",Netflix
93,Project Y,프로젝트Y,"Action, Thriller, Crime, Drama","Noir, Drugging, Difficult Adulthood, Senior-Junior Relationship, Florist Female Lead, Picaresque, Drug Usage, Heist, Mother-Daughter Relationship, Revenge (Vote tags)",Viki
94,The Roundup: No Way Out,범죄도시3,"Action, Thriller, Comedy, Crime","Detective Male Lead, Suspense, Black Comedy, Noir, Graphic Violence, Drug Dealer Male Lead, Gangster Male Lead, Detective Supporting Character, Criminal Supporting Character, Criminal Male Lead (Vote tags)",Viki
95,Hunt,헌트,"Action, Crime, Drama, Political","Inchoate Crime, Interrogation, Graphic Violence, Personal Assistant Supporting Character, Agent Supporting Character, Agent Male Lead, Spy Male Lead, Gun Violence, North And South Korea, National Intelligence Service (Vote tags)","Apple TV, Hulu"
96,Switch,스위치,"Comedy, Drama, Fantasy","Christmas Setting, Actor Male Lead, Talent Manager Male Lead, Director Supporting Character, Popular Male Lead, Time Skip, Alternate Reality, Father-Son Relationship, Life Lesson, Second Chance (Vote tags)",
97,The Killer: A Girl Who Deserves to Die,더 킬러: 죽어도 되는 아이,"Action, Thriller","Gun Violence, Skilled Killer, Death, Kidnapping, Suspense, Physically Strong Male Lead, Graphic Violence, Sexual Exploitation, Sex Trafficking, Social Issues (Vote tags)",Apple TV
98,Harbin,하얼빈,"Action, Historical, Crime, War","Graphic Violence, 1900s, Historical Fiction, Assassination, Death, Japanese Colonial Rule, Espionage, Blood (Vote tags)","Apple TV, Hulu, Viki"
99,The Tasty Florida (Movie),플로리다반점 (영화),"Romance, Youth","Gay Romance, LGBTQ+, Friendship, Restaurant Setting, Gay Male Lead, Web Movie, Best Friends' Relationship, Instant Attraction, Unrequited Love, Gay Supporting Character (Vote tags)",Viki
100,Jung Kook: I Am Still,Jung Kook: I Am Still,"Music, Life, Documentary","Pop Music, K-Pop, BTS (Vote tags)",
