Rank,Title,Native Title,Genres,Tags,Where to Watch
21,Happiness,해피니스,"Action, Thriller, Drama, Sci-Fi","Infectious Disease, Police Officer Female Lead, Lockdown, Quarantine, Detective Male Lead, Building Setting, Virus, Slow Burn Romance, Healthy Mains’ Relationship, Determined Female Lead (Vote tags)","WeTV, Netflix, Viki, Apple TV, TVING, iQiyi"
22,"Nevertheless,","알고있지만,","Romance, Life, Youth, Drama","Multiple Couples, Love Triangle, Playboy Male Lead, Adapted From A Webtoon, Friends With Benefits, Inner Monologue, Sexual Content, Fast Paced Romance, Unhealthy Mains' Relationship, Flirty Male Lead (Vote tags)",Netflix
23,Tomorrow,내일,"Action, Thriller, Drama, Fantasy","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead (Vote tags)",Netflix
24,The Glory Part 2,더글로리 파트 2,"Thriller, Drama, Melodrama","Revenge, Trauma, Graphic Violence, Suspense, Perpetrator-Victim Relationship, Domestic Violence, Brief Nudity, Scheme, Nudity (Vote tags) (show hidden tags)",Netflix
25,Love Next Door,엄마 친구 아들,"Comedy, Romance, Family","Childhood Connection, Friends To Lovers, Friendship, Meet Again, Successful Male Lead, Family Relationship, Mother-Daughter Relationship, Nice Male Lead, Sismance, Childhood Friends' Relationship (Vote tags)","TVING, Netflix"
26,Hospital Playlist Season 2,슬기로운 의사 생활 시즌2,"Romance, Life, Drama, Medical","Multiple Mains, Band, Music, Illness, Multiple Couples, Comedy, Bromance, Friendship, Divorced Male Lead, Smart Female Lead (Vote tags)","TVING, Netflix"
27,My Roommate Is a Gumiho,간 떨어지는 동거,"Comedy, Romance, Fantasy","Calm Male Lead, Straightforward Female Lead, Cohabitation, Adapted From A Webtoon, Nine-tailed Fox, Friendship, Supernatural, Multiple Mains, Nice Male Lead, Multiple Couples (Vote tags)","Netflix, Viki, Apple TV, TVING, iQiyi"
28,Marry My Husband,내 남편과 결혼해줘,"Comedy, Romance, Drama, Fantasy","Time Travel, Infidelity, Revenge, Gaslighting, Betrayal, Time Altering, Betrayed By A Friend, Age Gap [Real Life], Second Chance, Butterfly Effect (Vote tags)","Apple TV, TVING"
29,Moving,무빙,"Action, Thriller, Mystery, Supernatural","Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s (Vote tags)","Apple TV, Disney+, Hulu"
30,Alchemy of Souls Season 2: Light and Shadow,환혼 시즌2: 빛과 그림자,"Action, Historical, Romance, Fantasy","Fantasy World, Smart Male Lead, Marriage Of Convenience, Birth Secret, Supernatural, Nice Male Lead, Transmigration, Antihero Male Lead, Black Magic, Amnesia (Vote tags)",Netflix
31,Taxi Driver,모범택시,"Action, Thriller, Crime, Drama","Investigation, Revenge, Taxi Driver Male Lead, Teamwork, Secret Organization, Prosecutor Female Lead, Adapted From A Webtoon, Smart Female Lead, Calm Male Lead, Based On A True Story (Vote tags)","Apple TV, Viki, Kocowa, Netflix"
32,Sh**ting Stars,별똥별,"Comedy, Romance, Drama","Entertainment Industry, PR Specialist Female Lead, Multiple Mains, Actor Male Lead, Multiple Couples, Reporter Female Lead, Famous Male Lead, Company President (CEO) Supporting Character, Epilogue, Talent Manager Female Lead (Vote tags)","WeTV, Netflix, Viki, Apple TV, TVING, iQiyi"
33,When the Phone Rings,지금 거신 전화는,"Thriller, Mystery, Romance, Drama","Contract Relationship, Arranged Marriage, Enemies To Lovers, Sign Language, Hidden Identity, Kidnapping, Age Gap [Drama Life], Revenge, Rich Family, Investigation (Vote tags)","Netflix, Wavve"
34,Death's Game,"이재, 곧 죽습니다","Thriller, Drama, Fantasy","Death, Survival, Poor Male Lead, Supernatural Being, Difficult Adulthood, Graphic Violence, Reincarnation, Depressed Male Lead, Suicidal Male Lead, Desperate Male Lead (Vote tags)",TVING
35,Mouse,마우스,"Thriller, Mystery, Psychological","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, School Bullying (Vote tags) (show hidden tags)","WeTV, Viki, Apple TV, TVING, iQiyi"
36,Squid Game Season 2,오징어게임 시즌2,"Action, Thriller, Mystery, Drama","Death Game, Survival, Competition, Graphic Violence, Death, Suspense, Game, Transgender Female Lead, Social Commentary, Black Comedy (Vote tags)",Netflix
37,Welcome to Samdal-ri,웰컴투 삼달리,"Comedy, Romance, Life, Drama","Healing, Return To Hometown, Friendship, Childhood Sweethearts, Sisters' Relationship, Meet Again, Town Setting, Weather Forecaster Male Lead, Photographer Female Lead, Childhood Friends' Relationship (Vote tags)",Netflix
38,Big Mouth,빅마우스,"Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Brave Female Lead, Murder, Prison Setting, Wrongfully Accused, Conspiracy, Mistaken Identity (Vote tags)","Apple TV, Hulu, Disney+, Wavve"
39,See You in My 19th Life,이번 생도 잘 부탁해,"Comedy, Romance, Drama, Fantasy","Reincarnation, Past Life, Trauma, Death, Adapted From A Webtoon, Childhood Friends' Relationship, First Love, Flashback To Past, Competent Female Lead, Straightforward Female Lead (Vote tags)","TVING, Netflix"
40,The Trauma Code: Heroes on Call,중증외상센터,"Action, Comedy, Drama, Medical","Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting (Vote tags)",Netflix
41,Bloodhounds,사냥개들,"Action, Thriller, Crime, Drama","Bromance, Debt, Graphic Violence, Skilled Fighter, Boxer Male Lead, Friendship, Teamwork, Boxing, Fraud, Poor Male Lead (Vote tags)",Netflix
42,Snowdrop,설강화,"Romance, Drama, Melodrama, Political","1980s, Love At First Sight, Political Intrigue, North And South Korea, Historical Fiction, Conspiracy, University, Multiple Mains, Suspense, Thriller (Vote tags)","Apple TV, Disney+"
43,Semantic Error,시맨틱 에러,"Comedy, Romance, Life, Youth","Gay Romance, LGBTQ+, Serious Male Lead, Smart Male Lead, Enemies To Lovers, Bisexual Male Lead, Opposites Attract, Height Difference, Gay Male Lead, University (Vote tags)","Apple TV, Viki"
44,Doctor Slump,닥터슬럼프,"Comedy, Romance, Drama, Medical","Depression, Healing, Family Relationship, Rivals To Friends, Burnout Syndrome, Rivalry, Friends To Lovers, Meet Again, Friendship, Plastic Surgeon Male Lead (Vote tags)","TVING, Netflix"
45,Destined with You,이 연애는 불가항력,"Comedy, Romance, Drama, Fantasy","Magic, Love Spell, Curse, Supernatural, Lawyer Male Lead, Fated Love, Bickering Mains' Relationship, Male Chases Female First, Enemies To Lovers, Co-workers' Relationship (Vote tags)","TVING, Netflix"
46,Study Group,스터디그룹,"Action, Thriller, Comedy, Youth","School Bullying, Friendship, Physically Strong Male Lead, Student Male Lead, School Setting, Classmates' Relationship, Fraternal Twin Supporting Character, Skilled Fighter, High School, Student-Teacher Relationship (Vote tags)","TVING, Viki"
47,Weak Hero Class 2,약한영웅 Class 2,"Action, Thriller, Youth, Drama","Male Centered Plot, Skilled Fighter, High School, Violence, Friendship, School Violence, Gang, School Bullying, Bromance, School Setting (Vote tags)",Netflix
48,The Good Bad Mother,나쁜엄마,"Comedy, Life, Drama, Family","Mother-Son Relationship, Village Setting, Death Of A Husband, Mean Parent, Abusive Parent, Age Regression, Determined Female Lead, Controlling Parent, Farmer Female Lead, Foreigner Supporting Character (Vote tags)","TVING, Netflix"
49,D.P.,디피,"Action, Military, Drama","Desertion, Violence, Harassment, Bromance, Dark Fiction, Adapted From A Webtoon, Miniseries, Sexual Harassment, Domestic Violence (Vote tags) (show hidden tags)",Netflix
50,Mr. Plankton,Mr. 플랑크톤,"Comedy, Romance, Drama","Traveling, Searching For A Biological Parent, Orphan Female Lead, Terminal Illness, Kidnapping, Shameless Male Lead, Loner Male Lead, Fake Pregnancy, Second Chance Romance, Death (Vote tags)",Netflix
51,Bad and Crazy,배드 앤 크레이지,"Action, Thriller, Mystery, Comedy","Corruption, Investigation, Eccentric Male Lead, Slight Romance, Antihero Male Lead, Police Officer Male Lead, Bromance, Suspense, Police Department Setting, Domestic Crime (Vote tags)","TVING, Netflix, iQiyi"
52,My Lovely Liar,소용없어 거짓말,"Mystery, Comedy, Romance, Supernatural","Human Lie Detector, Psychic Female Lead, Neighbors' Relationship, Musician Male Lead, Supernatural Power, Hidden Identity, Friendship, Talented Male Lead, Nice Male Lead, Character Development (Vote tags)","TVING, Viki"
53,The Devil Judge,악마판사,"Mystery, Law, Crime, Drama","Dark Fiction, Judge Male Lead, Manipulative Female Lead, Orphan Male Lead, Rivalry, Dystopia, Corruption, Death, Hardworking Male Lead, Unrequited Love (Vote tags)","WeTV, Netflix, Viki, TVING, iQiyi"
54,Youth of May,오월의 청춘,"Romance, Youth, Drama, Melodrama","Star Crossed Lovers, 1980s, Tearjerker, Rich Man/Poor Woman, Gwangju Uprising, Nice Male Lead, Smart Female Lead, Forbidden Love, Martial Law, Selfless Female Lead (Vote tags)","Viki, Kocowa, Netflix"
55,Crash Course in Romance,일타 스캔들,"Thriller, Mystery, Comedy, Romance","Older Woman/Younger Man, Teacher Male Lead, Cram School, Smart Male Lead, Workaholic Male Lead, High School, Asperger’s Syndrome, Hardworking Male Lead, Mental Illness, Age Gap [Real Life] (Vote tags)",Netflix
56,Little Women,작은 아씨들,"Action, Thriller, Mystery, Drama","Female Centered Plot, Sisters' Relationship, Poor Female Lead, Poor Family, Murder, Investigation, Reporter Female Lead, Teenager Female Lead, Death, Outcast Female Lead (Vote tags)",Netflix
57,Family by Choice,조립식 가족,"Comedy, Romance, Youth, Family","MDL Remake, Age Gap [Real Life], Family Relationship, Slice Of Life, First Love, Friendship, Estranged Parent, Emotionally Strong Female Lead, Student Supporting Character, Student Female Lead (Vote tags)","TVING, Viki"
58,Revenge of Others,3인칭 복수,"Action, Thriller, Mystery, Drama","Skilled Fighter, Slight Romance, Investigation, Death Of A Brother, Death Of A Twin, Revenge, Amnesia, School Bullying, Suspense, Multiple Mains (Vote tags)","Apple TV, Disney+, Hulu"
59,The Judge from Hell,지옥에서 온 판사,"Thriller, Mystery, Romance, Fantasy","Judge Female Lead, Detective Male Lead, Demon, Murder, Supernatural, Death, Demon Female Lead, Insensitive Female Lead, Character Development, Warm Man/Cold Woman (Vote tags)","Hulu, Disney+, Wavve"
60,Love to Hate You,연애대전,"Comedy, Law, Romance","Badass Female Lead, Enemies To Lovers, Actor Male Lead, Famous Male Lead, Entertainment Industry, Aggressive Female Lead, Social Issues, Skilled Fighter, Lawyer Female Lead, Gender Discrimination (Vote tags)",Netflix
61,The Sound of Magic,안나라수마나라,"Music, Psychological, Drama, Fantasy","Magician Male Lead, Adapted From A Webtoon, Poor Female Lead, School Bullying, Melodrama, Poverty, High School, Youth, Mystery, Musical (Vote tags)","Apple TV, Netflix"
62,Beyond Evil,괴물,"Thriller, Mystery, Psychological, Drama","Investigation, Suspense, Determined Male Lead, Murder, Trauma, Corruption, Psychological Manipulation, Smart Male Lead, Serial Killings, Hidden Past (Vote tags)","WeTV, Netflix, Viki, Kocowa, Disney+"
63,Perfect Marriage Revenge,완벽한 결혼의 정석,"Business, Romance, Drama, Fantasy","Revenge, Time Travel, Male Chases Female First, Contract Relationship, Second Chance, Fake To Real Lovers, Adapted From A Webtoon, Supportive Male Lead, Family Relationship, Adopted Female Lead (Vote tags)","TVING, Viki, Netflix, Wavve"
64,A Time Called You,너의 시간 속으로,"Thriller, Mystery, Romance, Fantasy","Time Travel, Doppelganger, Transmigration, Butterfly Effect, Nice Male Lead, Time Altering, Time Loop, Friends To Lovers, First Love, Unrequited Love (Vote tags)",Netflix
65,Doona!,이두나!,"Romance, Youth, Drama","Idol Female Lead, Warm Male Lead, Share House Setting, Former Celebrity Female Lead, Singer Female Lead, Student Male Lead, Selfish Female Lead, Miniseries, Naive Male Lead, Steamy Kiss (Vote tags)",Netflix
66,The Atypical Family,히어로는 아닙니다만,"Comedy, Romance, Drama, Fantasy","Supernatural Power, Time Travel, Supernatural, Age Gap [Real Life], Older Man/Younger Woman, Rich Man/Poor Woman, Cunning Female Lead, Single Father Male Lead, Flashback To Past, Family Relationship (Vote tags)","TVING, Netflix"
67,Celebrity,셀러브리티,"Thriller, Mystery, Drama","Social Media, Slight Romance, Rich Male Lead, Influencer Female Lead, Famous Female Lead, Secret, Suspense, Revenge, Influencer Supporting Character, Nonlinear Narrative (Vote tags)",Netflix
68,A Shop for Killers,킬러들의 쇼핑몰,"Action, Thriller, Mystery, Drama","Smart Male Lead, Smart Female Lead, Difficult Childhood, Uncle-Niece Relationship, Skilled Killer, Orphan Female Lead, Family Relationship, Survival, Found Family, Physically Strong Male Lead (Vote tags)","Disney+, Hulu"
69,My Dearest Nemesis,그놈은 흑염룡,"Comedy, Romance","Meet Again, Older Woman/Younger Man, Rich Male Lead, Abusive Grandparent, Age Gap [Real Life], First Love, Age Gap [Drama Life], Boss-Employee Relationship, First Love Returns, Secret Relationship (Vote tags)","TVING, Viki"
70,The King's Affection,연모,"Historical, Romance, Drama","Cross-Dressing, Hidden Identity, Joseon Dynasty, Gender Bender, First Love, Royalty, Nice Male Lead, Death, Cold Female Lead, Childhood Connection (Vote tags)",Netflix
71,"No Gain, No Love",손해 보기 싫어서,"Comedy, Romance, Drama","Contract Relationship, Foster Sisters' Relationship, Older Woman/Younger Man, Fake Marriage, Enemies To Lovers, Age Gap [Drama Life], Age Gap [Real Life], Contract Employee Male Lead, Voice Actor/Actress Supporting Character, Married Supporting Character (Vote tags)","Apple TV, TVING"
72,Daily Dose of Sunshine,정신병동에도 아침이 와요,"Life, Drama, Medical","Nurse Female Lead, Mental Illness, Healing, Mental Hospital Setting, Nice Female Lead, Depression, Doctor Male Lead, Co-workers' Relationship, Heartwarming, Slight Romance (Vote tags)",Netflix
73,"Bon Appetit, Your Majesty",폭군의 셰프,"Historical, Comedy, Romance, Fantasy","Historical Fiction, Chef Female Lead, King Male Lead, Competition, Joseon Dynasty, Time Travel, Tyrant Male Lead, Enemies To Lovers, Palace Setting, Power Struggle (Vote tags)","TVING, Netflix"
74,Forecasting Love and Weather,기상청 사람들: 사내연애 잔혹사 편,"Romance, Drama, Melodrama","Older Woman/Younger Man, Boss-Employee Relationship, Secret Relationship, Smart Male Lead, Teamwork, Reporter Female Lead, Mother-Daughter Relationship, Cold Female Lead, Nice Male Lead, Fast Paced Romance (Vote tags)","TVING, Netflix"
75,Love Alarm Season 2,좋아하면 울리는 2,"Romance, Youth, Drama","Love Triangle, Dating App, Misunderstanding, Eccentric Male Lead, Adapted From A Webtoon, College To Working Life, Rich Male Lead, First Love, Hardworking Female Lead, Sexual Harassment (Vote tags)",Netflix
76,So I Married the Anti-Fan,그래서 나는 안티팬과 결혼했다,"Music, Comedy, Romance","Enemies To Lovers, Rich Man/Poor Woman, Misunderstanding, Rich Male Lead, Adapted From A Novel, Entertainment Industry, Sassy Female Lead, Accidental Kiss, Cohabitation, Revenge (Vote tags)","Viki, Hulu, iQiyi, Wavve"
77,Gyeongseong Creature,경성크리처,"Action, Thriller, Historical, Sci-Fi","1940s, Slight Romance, Monster, Human Experimentation, Japanese Colonial Rule, Mystery, Suspense, Hospital Setting, Brave Male Lead, Fierce Female Lead (Vote tags)",Netflix
78,Head over Heels,견우와 선녀,"Romance, Drama, Fantasy, Supernatural","Shaman Female Lead, Unlucky Male Lead, Love At First Sight, Female Chases Male First, First Love, Hidden Identity, Female Lead Saves Male Lead, Shamanism, School Setting, Shaman Supporting Character (Vote tags)",TVING
79,Death's Game Part 2,"이재, 곧 죽습니다 파트2","Thriller, Drama, Fantasy","Mother-Son Relationship, Character Development, Reincarnation, Supernatural, Revenge, Murder, Transmigration, Death Of A Main Character, Afterlife, Second Chance (Vote tags)",TVING
80,My Liberation Notes,나의 해방일지,"Romance, Life, Drama, Melodrama","Slow Burn Story, Loneliness, Introverted Female Lead, Family Relationship, Slow Burn Romance, Alcoholism, Alcoholic Male Lead, Inner Monologue, Introverted Male Lead, Multiple Couples (Vote tags)","TVING, Netflix"
81,Soundtrack #1,사운드트랙#1,"Music, Romance","Miniseries, Friends To Lovers, Unrequited Love, Long Time Friends, Friendship, Cohabitation, Slow Burn Romance, Flashback To Past, Best Friends' Relationship, Songwriter Female Lead (Vote tags)","Apple TV, Disney+"
82,Law School,로스쿨,"Mystery, Law, Crime, Drama","Smart Male Lead, Hardworking Female Lead, University, Nice Female Lead, Death, Calm Male Lead, Poor Female Lead, Rich Male Lead, Sassy Female Lead, Nice Male Lead (Vote tags)",Netflix
83,To My Star,나의 별에게,"Comedy, Romance, Youth","Miniseries, LGBTQ+, Cohabitation, Rich Male Lead, Web Series, Gay Romance, Scandal, Gay Male Lead, Poor Man/Rich Man, Cold Man/Warm Man (Vote tags)","Apple TV, WeTV, Viki, iQiyi"
84,Can This Love Be Translated?,이 사랑 통역 되나요?,"Psychological, Comedy, Romance, Drama","Interpreter Male Lead, Actress Female Lead, Translator Male Lead, Traveling, Entertainment Industry, Age Gap [Real Life], Filming Accident, Multilingual Male Lead, Tsundere Male Lead, False Rumor (Vote tags)",Netflix
85,Undercover High School,언더커버하이스쿨,"Action, Comedy, Romance, Crime","Hidden Identity, Undercover Agent Male Lead, Teacher Female Lead, National Intelligence Service, Investigation, School Setting, Undercover Operation, Childhood Connection, Mystery, Thriller (Vote tags)","TVING, Viki, Kocowa, Wavve"
86,Strong Girl Nam Soon,힘쎈여자 강남순,"Action, Comedy, Romance, Supernatural","Superhuman Strength, Investigation, Mother-Daughter Relationship, Family Reunion, Undercover Operation, Organized Crime, Badass Female Lead, Teamwork, Death, Crime (Vote tags)","TVING, Netflix"
87,Reborn Rich,재벌집 막내아들,"Business, Drama, Fantasy, Political","Transmigration, Power Struggle, Corruption, Conglomerate, Family Dispute, Smart Male Lead, Revenge, Social Issues, Slight Romance, Emotionally Strong Male Lead (Vote tags)","Netflix, Viki, Apple TV, TVING, Disney+"
88,Dali & Cocky Prince,달리와 감자탕,"Comedy, Romance, Drama","Bankruptcy, Smart Female Lead, Rich Male Lead, Rich Female Lead, Male Chases Female First, Art, Multilingual, Healthy Mains’ Relationship, Opposites Attract, Eccentric Male Lead (Vote tags)","Kocowa, Netflix"
89,A Good Day to Be a Dog,오늘도 사랑스럽개,"Comedy, Romance, Fantasy, Supernatural","Dog, Curse, Workplace Setting, Animal Transformation, Accidental Kiss, Female Chases Male First, Cynophobia, Adapted From A Webtoon, Nice Male Lead, Teacher Female Lead (Vote tags)","Viki, Netflix"
90,Sweet Home Season 2,스위트홈 시즌2,"Action, Horror, Drama, Sci-Fi","Survival, Apocalypse, Supernatural, Dystopia, Death, Monster, Gore, Psychological, Supernatural Phenomena, Mutant (Vote tags)",Netflix
91,Squid Game Season 3,오징어게임 시즌3,"Action, Thriller, Mystery, Horror","Violence Against Elderly, Gambler Male Lead, Profanity, Gun Violence, Web Series, Gore, Comedy, Violence Against Animals, Graphic Violence, North Korean Female Lead (Vote tags)",Netflix
92,She Would Never Know,선배 그 립스틱 바르지 마요,"Business, Comedy, Romance, Drama","Secret Relationship, Male Chases Female First, Nice Male Lead, Mother-Daughter Relationship, Older Woman/Younger Man, Brother-Sister Relationship, Time Skip, Family Relationship, Rich Male Lead, Successful Female Lead (Vote tags)","Netflix, iQiyi"
93,Castaway Diva,무인도의 디바,"Music, Comedy, Romance, Drama","Chasing A Dream, Singer Female Lead, Music Industry, Family Relationship, Friendship, Brothers' Relationship, Heartwarming, Sismance, Difficult Childhood, Entertainment Industry (Vote tags)","TVING, Netflix"
94,The Uncanny Counter Season 2: Counter Punch,경이로운 소문 시즌2: 카운터 펀치,"Action, Mystery, Comedy, Supernatural","Dark Fantasy, Fantasy, Evil Spirit, Drama, Friendship, Slasher Film, Noir, Adapted From A Webtoon, Thriller, Suspense (Vote tags)","TVING, Netflix"
95,Good Boy,굿보이,"Action, Comedy, Romance, Sports","Teamwork, Fight For Justice, Multiple Mains, Former Athlete Female Lead, Former Athlete Male Lead, Corporal Female Lead, Corporal Male Lead, Lieutenant Male Lead, Sergeant Male Lead, Office Worker Male Lead (Vote tags)","TVING, Netflix, Wavve"
96,Navillera,나빌레라,"Life, Drama","Ballet, Life Lesson, Unusual Friendship, Adapted From A Webtoon, Second Chance, Father-Son Relationship, Character Development, Grandpa-Granddaughter Relationship, Bromance, Abuse Of Power (Vote tags)","TVING, Netflix"
97,Our Blues,우리들의 블루스,"Romance, Life, Drama, Melodrama","Middle-Aged Male Lead, Middle-Aged Female Lead, Multiple Mains, Age Gap [Drama Life], Age Gap [Real Life], Friendship, Slow Burn Story, Depression, Father-Daughter Relationship, Multiple Couples (Vote tags)","TVING, Netflix"
98,The Red Sleeve,옷소매 붉은 끝동,"Historical, Romance, Drama, Melodrama","Court Lady Female Lead, Rich Man/Poor Woman, Noble Man/Common Woman, Tearjerker, Joseon Dynasty, Palace Setting, Monarchy, Death, Smart Female Lead, Male Chases Female First (Vote tags)","Apple TV, Viki, Netflix"
99,Tale of the Nine-Tailed 1938,구미호뎐 1938,"Historical, Horror, Romance, Fantasy","Nine-tailed Fox, Action, Supernatural, 1930s, Bromance, Brothers' Relationship, Time Travel, Badass Male Lead, Friendship, Suspense (Vote tags)",TVING
100,"At a Distance, Spring Is Green",멀리서 보면 푸른 봄,"Romance, Life, Youth","Coming Of Age, Bromance, Adapted From A Webtoon, Campus Setting, Clingy Male Lead, Depression, Older Woman/Younger Man, Anxiety, Popular Male Lead, Cold Male Lead (Vote tags)","Apple TV, Viki, iQiyi"
