Rank,Title,Genres,Tags,Where to Watch
27,The Glory Part 2,"Thriller, Drama, Melodrama","Revenge, Trauma, Graphic Violence, Suspense, Perpetrator-Victim Relationship, Domestic Violence, Brief Nudity, Scheme, Nudity (Vote tags) (show hidden tags)",Netflix
29,Love Next Door,"Comedy, Romance, Family","Childhood Connection, Friends To Lovers, Friendship, Meet Again, Successful Male Lead, Family Relationship, Mother-Daughter Relationship, Nice Male Lead, Sismance, Childhood Friends' Relationship (Vote tags)","TVING, Netflix"
31,Hospital Playlist Season 2,"Romance, Life, Drama, Medical","Multiple Mains, Band, Music, Illness, Multiple Couples, Comedy, Bromance, Friendship, Divorced Male Lead, Smart Female Lead (Vote tags)","TVING, Netflix"
33,My Roommate Is a Gumiho,"Comedy, Romance, Fantasy","Calm Male Lead, Straightforward Female Lead, Cohabitation, Adapted From A Webtoon, Nine-tailed Fox, Friendship, Supernatural, Multiple Mains, Nice Male Lead, Multiple Couples (Vote tags)","Apple TV, Viki, Netflix, iQiyi, TVING"
35,Marry My Husband,"Comedy, Romance, Drama, Fantasy","Time Travel, Infidelity, Revenge, Gaslighting, Betrayal, Time Altering, Betrayed By A Friend, Age Gap [Real Life], Second Chance, Butterfly Effect (Vote tags)","TVING, Apple TV"
37,Moving,"Action, Thriller, Mystery, Supernatural","Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s (Vote tags)","Disney+, Hulu, Apple TV"
39,Alchemy of Souls Season 2: Light and Shadow,"Action, Historical, Romance, Fantasy","Fantasy World, Smart Male Lead, Marriage Of Convenience, Birth Secret, Supernatural, Nice Male Lead, Transmigration, Antihero Male Lead, Black Magic, Amnesia (Vote tags)",Netflix
41,Taxi Driver,"Action, Thriller, Crime, Drama","Investigation, Revenge, Taxi Driver Male Lead, Teamwork, Secret Organization, Prosecutor Female Lead, Adapted From A Webtoon, Smart Female Lead, Calm Male Lead, Based On A True Story (Vote tags)","Kocowa, Netflix, Viki, Apple TV"
43,Sh**ting Stars,"Comedy, Romance, Drama","Entertainment Industry, PR Specialist Female Lead, Multiple Mains, Actor Male Lead, Multiple Couples, Reporter Female Lead, Famous Male Lead, Company President (CEO) Supporting Character, Epilogue, Talent Manager Female Lead (Vote tags)","WeTV, Apple TV, Viki, Netflix, iQiyi, TVING"
45,When the Phone Rings,"Thriller, Mystery, Romance, Drama","Contract Relationship, Arranged Marriage, Enemies To Lovers, Sign Language, Hidden Identity, Kidnapping, Age Gap [Drama Life], Revenge, Rich Family, Investigation (Vote tags)","Netflix, Wavve"
47,Death's Game,"Thriller, Drama, Fantasy","Death, Survival, Poor Male Lead, Supernatural Being, Difficult Adulthood, Graphic Violence, Reincarnation, Depressed Male Lead, Suicidal Male Lead, Desperate Male Lead (Vote tags)",TVING
49,Mouse,"Thriller, Mystery, Psychological","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, School Bullying (Vote tags) (show hidden tags)","WeTV, Apple TV, Viki, iQiyi, TVING"
51,Squid Game Season 2,"Action, Thriller, Mystery, Drama","Death Game, Survival, Competition, Graphic Violence, Death, Suspense, Game, Transgender Female Lead, Social Commentary, Black Comedy (Vote tags)",Netflix
53,Welcome to Samdal-ri,"Comedy, Romance, Life, Drama","Healing, Return To Hometown, Friendship, Childhood Sweethearts, Sisters' Relationship, Meet Again, Town Setting, Weather Forecaster Male Lead, Photographer Female Lead, Childhood Friends' Relationship (Vote tags)",Netflix
55,Big Mouth,"Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Brave Female Lead, Murder, Prison Setting, Wrongfully Accused, Conspiracy, Mistaken Identity (Vote tags)","Disney+, Hulu, Apple TV, Wavve"
57,See You in My 19th Life,"Comedy, Romance, Drama, Fantasy","Reincarnation, Past Life, Trauma, Death, Adapted From A Webtoon, Childhood Friends' Relationship, First Love, Flashback To Past, Competent Female Lead, Straightforward Female Lead (Vote tags)","TVING, Netflix"
59,The Trauma Code: Heroes on Call,"Action, Comedy, Drama, Medical","Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting (Vote tags)",Netflix
